Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Bernardo Flores Jr.","2 Tms",0.2,4,13.49999993,13.49999993,1,0,0.25,0.25,0,0.33333333,2.99999999,0.5,0.5,4.659115399915683,4.659115402415683,19561
"Total","JoJo Romero","PHI",10,50,9.9,4.5,2.2,1.8,0.22,0.1,0.12,0.23809524,1.5,0.27586207,0.72368421,5.968088849403527,4.855884670235779,19574
"Total","Cionel Perez","2 Tms",10.1,44,10.45161291,6.96774194,1.5,0,0.27272727,0.18181818,0.09090909,0.13888889,1.25806452,0.20833333,0.69230769,3.1532103077108293,3.828897134557816,19614
"Total","Kyle Hart","BOS",3,18,12,9,1.33333333,3,0.22222222,0.16666667,0.05555555,0.42857143,3,0.5,0.65789474,7.858086462175294,4.810271165768306,19646
"Total","Kyle Wright","ATL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,19665
"Total","Gregory Soto","DET",13.1,62,11.475,6.75,1.7,0,0.27419355,0.16129032,0.11290323,0.18,1.425,0.27272727,0.85714286,3.313153457634535,4.401587409828652,19677
"Total","Dustin May","LAD",0,1,0,9,0,0,0,1,-1,0,1,0,0,6.137579154968262,6.137579154968262,19716
"Total","Kodi Whitley","STL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,19731
"Total","Will Vest","SEA",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,19769
"Total","Wil Crowe","WSN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,19800
"Total","Daniel Castano","MIA",11.2,54,5.4,2.31428572,2.33333333,0.77142857,0.12962963,0.05555556,0.07407407,0.3,1.54285714,0.33333333,0.96590909,4.114278981216637,5.519171348282434,19805
"Total","Darwinzon Hernandez","BOS",9,40,16,8,2,0,0.4,0.2,0.2,0.16129032,1.44444444,0.3125,1,2.260654851014269,2.648549141486486,19848
"Total","Michael King","NYY",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,19853
"Total","Tucker Davidson","ATL",4,17,18,9,2,0,0.47058824,0.23529412,0.23529412,0.07692308,1.25,0.2,0.8,2.1510393142700197,2.587420389801264,19871
"Total","Kevin Ginkel","ARI",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,19876
"Total","Alex Lange","DET",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,19883
"Total","Jose Suarez","LAA",5,29,9,9,1,1.8,0.17241379,0.17241379,0,0.375,2.8,0.44444444,0.71428571,6.741168530746171,6.621453105374046,19911
"Total","Ian Anderson","ATL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,19951
"Total","Jesus Luzardo","OAK",22,98,10.63636364,4.09090909,2.6,0.40909091,0.26530612,0.10204082,0.1632653,0.25581395,1.45454545,0.3442623,0.71895425,2.761118934176487,3.3557605284551486,19959
"Total","Phillip Diehl","COL",3,13,12,3,4,6,0.30769231,0.07692308,0.23076923,0.25,1.33333333,0.16666667,0.83333333,10.191419792175294,4.738548226157825,20030
"Total","Adrian Morejon","SDP",9.1,37,8.67857142,0.96428571,9,2.89285714,0.24324324,0.02702703,0.21621621,0.27777778,1.17857143,0.29166667,0.73529412,5.75900260235831,3.233240084088135,20039
"Total","Bailey Falter","PHI",0.2,3,26.99999987,0,2,0,0.66666667,0,0.66666667,0.33333333,1.49999999,1,1,-2.8624208150317383,-2.8624208150317383,20070
"Total","Chris Paddack","SDP",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,20099
"Total","Ben Braymer","WSN",2.1,12,7.71428573,7.71428573,1,0,0.16666667,0.16666667,0,0.3,2.14285715,0.375,1,4.048562652175293,5.701371561809097,20175
