Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Lorenzo Cain","MIL",93,0.08602151,0.22580645,0.38095238,0.22619048,0.30107527,0.36904762,0.67012289,0.14285714,0.26666667,9.982197463145518,-0.995011642942166,0.2977911791493816,87.10407379225262,9077
"Total","Khris Davis","2 Tms",85,0.10588235,0.32941176,0.32142857,0.12162162,0.22352941,0.24324324,0.46677265,0.12162162,0.15555556,3.253376590566803,-7.175293003661464,0.21426841791938334,34.13097186915451,9112
"Total","Tyler Flowers","ATL",59,0.08474576,0.37288136,0.22727273,0.25,0.33898305,0.40384615,0.7428292,0.15384615,0.4137931,7.770917308123744,0.36474023440662684,0.32708901267940715,101.66514068587509,9134
"Total","Buster Posey","SFG",100,0.12,0.17,0.70588235,0.28735632,0.38,0.52873563,0.90873563,0.24137931,0.296875,18.355417594856288,6.696080759710339,0.39317053854465484,153.78174846100674,9166
"Total","Paul Goldschmidt","STL",366,0.10655738,0.20491803,0.52,0.2808642,0.35890411,0.43518519,0.7940893,0.15432099,0.3375,54.618967348636325,10.21239354640358,0.34803390437609527,122.35249656511499,9218
"Total","Starling Marte","2 Tms",231,0.05627706,0.2034632,0.27659574,0.27536232,0.34199134,0.44927536,0.7912667,0.17391304,0.32258065,33.237593457974384,4.678345062710241,0.34196074648852987,116.12736928606664,9241
"Total","AJ Pollock","LAD",215,0.05581395,0.2372093,0.23529412,0.25615764,0.29767442,0.48768473,0.78535915,0.23152709,0.28057554,29.400780387265534,2.9929476976822333,0.33391127031902934,113.20635617376097,9256
"Total","Evan Longoria","SFG",273,0.06593407,0.22710623,0.29032258,0.2310757,0.28571429,0.38247012,0.66818441,0.15139442,0.27717391,27.558047490366178,-5.639005733482167,0.29033961007883263,83.92056085196751,9368
"Total","Yan Gomes","WSN",178,0.0505618,0.19101124,0.26470588,0.24242424,0.29213483,0.39393939,0.68607422,0.15151515,0.27559055,18.21192347596839,-3.345851187003107,0.29164097240992953,79.96462038617925,9627
"Total","Christian Vazquez","BOS",248,0.07258065,0.19758065,0.36734694,0.28384279,0.33467742,0.41048035,0.74515777,0.12663756,0.34090909,32.33691856221397,2.2780759628220335,0.32534042337248403,103.05474259939324,9774
"Total","Nolan Arenado","2 Tms",322,0.07763975,0.11180124,0.69444444,0.26369863,0.31987578,0.48630137,0.80617715,0.22260274,0.25609756,44.620266685003095,5.781618864947613,0.3366881923962243,107.15899372798233,9777
"Total","Andrew McCutchen","PHI",295,0.11525424,0.23389831,0.49275362,0.203125,0.29152542,0.3203125,0.61183792,0.1171875,0.23913043,25.791914220024417,-10.12208907021158,0.27319601754010736,69.61000121002971,9847
"Total","DJ LeMahieu","NYY",312,0.09935897,0.1474359,0.67391304,0.3115942,0.38461538,0.47101449,0.85562987,0.15942029,0.33936652,52.677512275052926,14.763551609588527,0.37099847980798817,138.5697329000844,9874
"Total","Darin Ruf","SFG",90,0.14444444,0.35555556,0.40625,0.26315789,0.37777778,0.46052632,0.8383041,0.19736843,0.4,14.869613949129105,4.063483815559865,0.36842999789449904,136.03615102774666,9929
"Total","Wil Myers","SDP",255,0.09019608,0.25490196,0.35384615,0.27074236,0.34117647,0.50218341,0.84335988,0.23144105,0.32679739,40.40983230649956,9.356134996111473,0.35925087040545894,129.10274241776244,10047
"Total","Max Stassi","LAA",79,0.10126582,0.26582278,0.38095238,0.27536232,0.35443038,0.42028986,0.77472024,0.14492754,0.34782609,11.151623609406684,1.4671895084211561,0.3392922199225124,116.83406674728761,10059
"Total","Mike Trout","LAA",277,0.15162455,0.24548736,0.61764706,0.31877729,0.42599278,0.69868996,1.12468274,0.37991267,0.35915493,66.33828003305926,32.451476920135164,0.4585471861064434,198.05016578974187,10155
"Total","Jose Iglesias","2 Tms",232,0.02155172,0.13793103,0.15625,0.33484163,0.36206897,0.49773756,0.85980653,0.16289593,0.37297297,38.801475038363286,10.706411955489468,0.36973378113631544,138.03136193085916,10231
"Total","Randal Grichuk","TOR",318,0.05660377,0.21383648,0.26470588,0.25337838,0.29559748,0.42567568,0.72127316,0.1722973,0.28440367,36.938869093495,-1.6299764989441745,0.3087381641571454,93.36329344497595,10243
"Total","Marcell Ozuna","ATL",369,0.11924119,0.22222222,0.53658537,0.28482972,0.37127371,0.48297214,0.85424585,0.19814242,0.33628319,61.634328055396836,16.70820807220058,0.36855271572004195,131.01409844635998,10324
"Total","John Ryan Murphy","PIT",56,0.07142857,0.44642857,0.16,0.1372549,0.2,0.17647059,0.37647059,0.03921569,0.26923077,0.24075238653459918,-6.788839412247749,0.17607415589419279,4.621932072170624,10346
"Total","Domingo Santana","CLE",63,0.15873016,0.28571429,0.55555556,0.19230769,0.33333333,0.36538462,0.69871795,0.17307693,0.25,7.618681563317022,-0.28960921031312054,0.3143131411264813,95.15907862968417,10348
"Total","Adeiny Hechavarria","ATL",52,0.07692308,0.19230769,0.4,0.25,0.30769231,0.29166667,0.59935898,0.04166667,0.31578947,4.392154743505954,-2.13532335536337,0.2710905304321876,64.70645232574785,10459
"Total","Enrique Hernandez","2 Tms",202,0.04950495,0.23762376,0.20833333,0.24338624,0.29207921,0.43386243,0.72594164,0.19047619,0.29104478,24.04266951905416,-0.38482643736673694,0.3127644746610434,97.2822059523075,10472
"Total","Gio Urshela","NYY",257,0.08949416,0.17120623,0.52272727,0.29694323,0.35797665,0.50655022,0.86452687,0.20960699,0.32022472,42.5433676437745,11.354769219578257,0.3684813470692022,136.63357551567435,10681
"Total","Jedd Gyorko","MIL",78,0.05128205,0.32051282,0.16,0.23611111,0.28205128,0.41666667,0.69871795,0.18055556,0.29545455,8.379840015657987,-1.4113771326459978,0.2983150390478281,83.7408818712284,10816
"Total","Andrelton Simmons","2 Tms",177,0.08474576,0.1299435,0.65217391,0.2654321,0.32768362,0.33950617,0.66718979,0.07407407,0.30434783,19.18035539395312,-2.2340207307865247,0.29861977948980817,89.25171668667394,10847
"Total","Adam Duvall","2 Tms",289,0.07266436,0.27681661,0.2625,0.2243346,0.28719723,0.47148289,0.75868012,0.24714829,0.24096386,36.923835974418736,1.8076785171862615,0.32228822464761436,103.45426498669711,10950
"Total","Phil Gosselin","2 Tms",79,0.06329114,0.30379747,0.20833333,0.2027027,0.25316456,0.2972973,0.55046186,0.0945946,0.28571429,5.001576067559936,-4.566702297277233,0.2440810641155967,51.5668070657282,10953
"Total","Jonathan Schoop","DET",290,0.06206897,0.2137931,0.29032258,0.2518797,0.30689655,0.39849624,0.70539279,0.14661654,0.29081633,33.53785747765419,-1.5429973852742003,0.30697942561116714,93.32987299511906,11265
"Total","Whit Merrifield","KCR",358,0.05307263,0.1396648,0.38,0.25766871,0.30726257,0.39263804,0.69990061,0.13496933,0.27205882,40.29315151638336,-3.2968310751860592,0.30361062538024436,90.30768335216476,11281
"Total","Jake Marisnick","2 Tms",53,0.05660377,0.32075472,0.17647059,0.26530612,0.32075472,0.6122449,0.93299962,0.34693878,0.32142857,9.67304655146126,3.341702066178361,0.39115725485783703,150.3220755197778,11339
"Total","Jesus Aguilar","MIA",297,0.09427609,0.17171717,0.54901961,0.26717557,0.33333333,0.44656489,0.77989822,0.17938932,0.28292683,41.087662659165176,5.056628368374612,0.33600134761245165,116.22112511716503,11342
"Total","Delino DeShields","CLE",91,0.08791209,0.24175824,0.36363636,0.2625,0.32954545,0.3125,0.64204545,0.05,0.36206897,9.129598141576574,-2.293488531444743,0.289889546957883,78.44113135603037,11379
"Total","Gary Sanchez","NYY",227,0.10132159,0.32599119,0.31081081,0.17171717,0.27753304,0.35353535,0.63106839,0.18181818,0.21052632,20.99970306009284,-6.691094313559617,0.28050731194702017,76.44095389810165,11442
"Total","Mark Canha","OAK",332,0.14457831,0.21084337,0.68571429,0.24528302,0.38253012,0.42641509,0.80894521,0.18113207,0.28571429,51.83966468662319,11.459810804727649,0.358089388494032,133.47812343516534,11445
"Total","Michael A. Taylor","2 Tms",183,0.06557377,0.27868852,0.23529412,0.23529412,0.28961749,0.39411765,0.68373514,0.15882353,0.29464286,19.639263621572375,-2.2959715807400944,0.2982243784789831,86.45334392433303,11489
"Total","Manny Machado","SDP",333,0.0990991,0.15915916,0.62264151,0.28231293,0.34834835,0.52721088,0.87555923,0.24489795,0.29004329,54.36372458896237,13.903017565222559,0.36495152940141395,133.15627549561188,11493
"Total","Willson Contreras","CHC",299,0.10367893,0.28093645,0.36904762,0.23076923,0.35451505,0.39271255,0.7472276,0.16194332,0.30128205,41.11965448308378,4.685667379681167,0.333730049356569,110.20466038733576,11609
"Total","Elias Diaz","COL",92,0.07608696,0.22826087,0.33333333,0.19047619,0.25,0.26190476,0.51190476,0.07142857,0.23809524,4.858964516067393,-6.269702920472734,0.23039921729461008,27.877601272300673,11680
"Total","Nick Castellanos","CIN",348,0.09195402,0.26436782,0.34782609,0.27974277,0.35344828,0.55305466,0.90650294,0.27331189,0.335,61.6840067958841,19.429723963738414,0.3844472853274181,140.30384825977023,11737
"Total","J.T. Realmuto","PHI",234,0.08974359,0.26495726,0.33870968,0.25603865,0.33760684,0.48309179,0.82069863,0.22705314,0.30075188,35.227264407031406,6.684573228411544,0.3511920768303933,120.82702368897137,11739
"Total","Hanser Alberto","2 Tms",229,0.01310044,0.12227074,0.10714286,0.25791855,0.27433628,0.36651584,0.64085212,0.10859729,0.28795812,20.5221734133421,-7.768148018711946,0.27690965306442394,72.86613737574535,11902
"Total","Jon Berti","MIA",180,0.13333333,0.24444444,0.54545455,0.24666667,0.36312849,0.34666667,0.70979516,0.1,0.33333333,23.163381087715614,1.3009392350268267,0.32302456960997766,107.80206972718807,12037
"Total","Nick Ahmed","ARI",270,0.08518519,0.24074074,0.35384615,0.23265306,0.30111524,0.33061224,0.63172748,0.09795918,0.30113636,25.580622694046134,-7.239845254867442,0.2819457973689395,74.12563410228309,12147
"Total","Austin Barnes","LAD",148,0.13513514,0.22297297,0.60606061,0.24590164,0.3630137,0.35245902,0.71547272,0.10655738,0.31818182,19.01469641570108,1.026203256287744,0.3248396087182711,107.56093620189012,12158
"Total","Xander Bogaerts","BOS",293,0.08191126,0.18088737,0.45283019,0.30188679,0.36177474,0.5245283,0.88630304,0.22264151,0.33,50.10690927608492,14.551183515327004,0.37672950557826723,137.3930908341426,12161
"Total","Miguel Sano","MIN",245,0.11020408,0.41632653,0.26470588,0.21296296,0.30612245,0.52314815,0.8292706,0.31018519,0.29166667,36.546695348431236,6.569581155289773,0.34891004078700893,121.94279679570516,12164
"Total","Jorge Bonifacio","DET",73,0.05479452,0.28767123,0.19047619,0.19402985,0.24657534,0.31343284,0.56000818,0.11940299,0.24444444,4.5723722318394024,-4.591202791573302,0.24521727594610762,48.92823782993926,12174
"Total","Maikel Franco","2 Tms",326,0.06134969,0.15337423,0.4,0.23509934,0.2791411,0.39735099,0.67649209,0.16225165,0.24796748,32.929244456991114,-6.8225296678100396,0.2892479060246394,81.42222094820399,12179
"Total","Jorge Alfaro","MIA",102,0.04901961,0.3627451,0.13513514,0.21276596,0.2745098,0.29787234,0.57238214,0.08510638,0.32727273,7.545059134868956,-4.955048287602089,0.2571972082642948,63.83581277984204,12180
"Total","Kevin Pillar","3 Tms",205,0.05365854,0.2,0.26829268,0.2617801,0.31219512,0.40837696,0.72057208,0.14659686,0.31506849,24.48045854539399,-0.6810249510335467,0.31301802193246236,91.67702583803433,12434
"Total","Curt Casali","2 Tms",117,0.17094017,0.2991453,0.57142857,0.13978495,0.31623932,0.25806452,0.57430384,0.11827957,0.18181818,10.21815157238965,-3.9325707524585254,0.27234264488877924,69.46304749995585,12510
"Total","Marcus Semien","2 Tms",344,0.11337209,0.22674419,0.5,0.25657895,0.34011628,0.45065789,0.79077417,0.19407894,0.30373832,49.48200269435799,7.747703675378909,0.34396994737691655,120.67034675403956,12533
"Total","C.J. Cron","2 Tms",133,0.15789474,0.27819549,0.56756757,0.23853211,0.37593985,0.44036697,0.81630682,0.20183486,0.3030303,21.198547132562638,5.34316193337345,0.3610835433902597,120.03079973602502,12546
"Total","Eugenio Suarez","CIN",337,0.10682493,0.30563798,0.34951456,0.19322034,0.28783383,0.43728814,0.72512197,0.2440678,0.20809249,40.168965316991574,-0.6508945006325186,0.31166466556134675,92.78771364000265,12552
"Total","Trevor Story","COL",333,0.08108108,0.25525526,0.31764706,0.26315789,0.32432432,0.45723684,0.78156116,0.19407895,0.33333333,45.53960942182233,5.078902398082512,0.33353200797948235,95.31462117764165,12564
"Total","George Springer","2 Tms",176,0.10227273,0.17045455,0.6,0.26490066,0.36,0.55629139,0.91629139,0.29139073,0.25454545,31.953871877673503,9.95915470439517,0.386393221446446,151.28071591434824,12856
"Total","James McCann","2 Tms",178,0.07303371,0.30337079,0.24074074,0.20858896,0.26966292,0.3190184,0.58868132,0.11042944,0.27619048,13.833052453007749,-7.590696360561798,0.26054558995064725,66.90032749063293,12859
"Total","Anthony Rendon","LAA",248,0.125,0.1733871,0.72093023,0.27014218,0.37903226,0.42180095,0.80083321,0.15165877,0.31055901,38.30275590902248,7.966926554199841,0.35381896075932123,127.1905586137226,12861
"Total","Jose Osuna","PIT",56,0.03571429,0.25,0.14285714,0.16666667,0.19642857,0.35185185,0.54828042,0.18518518,0.16216216,2.8777856934201598,-4.151806105362189,0.231887657727514,41.458534382897234,12937
"Total","Phillip Evans","PIT",132,0.12121212,0.21212121,0.57142857,0.25892857,0.37121212,0.40178571,0.77299783,0.14285714,0.3125,19.465590886956655,3.798279509133301,0.3470951287132321,120.70502550895758,12950
"Total","Austin Hedges","2 Tms",112,0.0625,0.3125,0.2,0.14736842,0.21904762,0.27368421,0.49273183,0.12631579,0.1754386,4.722873007764513,-8.844882475326365,0.21599319806465736,33.07537872525899,12976
"Total","Javier Baez","CHC",310,0.02580645,0.33870968,0.07619048,0.22945205,0.26213592,0.40753425,0.66967017,0.1780822,0.30508475,29.837353368414618,-7.870225730227258,0.2855168203641842,78.636139009746,12979
"Total","Cam Gallagher","KCR",85,0.08235294,0.21176471,0.38888889,0.25333333,0.31325301,0.37333333,0.68658634,0.12,0.31578947,9.260140106314953,-1.123854204779331,0.3002980688968337,86.74632783059212,12981
"Total","Teoscar Hernandez","TOR",266,0.06766917,0.27819549,0.24324324,0.29387755,0.34339623,0.50204082,0.84543705,0.20816327,0.36305732,42.61480389070429,10.242839301942954,0.36142281586269165,129.19321777124622,13066
