Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Jake Woodford","STL",18,75,7,3,2.33333333,1,0.18666667,0.08,0.10666667,0.26470588,1.33333333,0.30188679,0.94339623,4.057376558910476,4.255885649931615,18674
"Total","Freddy Peralta","MIL",48.1,197,11.73103448,4.46896552,2.625,0.74482759,0.31979695,0.12182741,0.19796954,0.15060241,1.0137931,0.20792079,0.82644628,3.4247390971943865,4.279755694365745,18679
"Total","Sandy Alcantara","MIA",56.2,235,7.62352941,3.65294118,2.08695652,1.42941176,0.20425532,0.09787234,0.10638298,0.215311,1.2,0.23225806,0.7400722,4.7429167650212545,4.631392578517472,18684
"Total","Kolby Allard","TEX",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,18694
"Total","Nick Neidert","MIA",10,53,7.2,9.9,0.72727273,0.9,0.1509434,0.20754717,-0.05660377,0.36585366,2.6,0.4375,0.78125,6.451936658241417,7.1085639422318,18699
"Total","Cody Poteet","MIA",15,53,7.2,1.8,4,0.6,0.22641509,0.05660377,0.16981132,0.12,0.6,0.13513514,0.52631579,3.0042458249682618,4.115840030709903,18769
"Total","Miguel Del Pozo","PIT",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,18792
"Total","Drew Steckenrider","SEA",7.2,31,8.2173913,8.2173913,1,0,0.22580645,0.22580645,0,0.08695652,1.17391304,0.11764706,0.88888889,4.050622634968262,4.9613309639796634,18806
"Total","Miguel Diaz","SDP",8,35,6.75,6.75,1,0,0.17142857,0.17142857,0,0.17241379,1.375,0.2173913,0.81818182,3.887579154968262,5.851293994858861,18815
"Total","Beau Burrows","DET",3.2,14,2.45454545,2.45454545,1,0,0.07142857,0.07142857,0,0.15384615,0.81818182,0.16666667,1,3.464147062175293,5.5677220377126755,18873
"Total","Danny Mendick","CHW",0.1,2,27.00000027,0,1,0,0.5,0,0.5,0,0,0,1,6.137579184968262,6.137579184968262,18889
"Total","Kyle Keller","2 Tms",2,7,9,0,2,4.5,0.28571429,0,0.28571429,0.14285714,0.5,0,2.5,7.6644994735717775,4.838300836086273,18890
"Total","Zack Burdi","CHW",5.1,24,11.81250001,5.0625,2.33333333,1.6875,0.29166667,0.125,0.16666667,0.19047619,1.3125,0.23076923,0.35714286,4.677959632898773,3.6524012863128363,19159
"Total","Tommy Nance","CHC",3.1,13,10.80000001,5.40000001,2,0,0.30769231,0.15384615,0.15384616,0.09090909,0.9,0.14285714,1,2.537579154968262,3.584893736690563,19178
"Total","Robert Dugger","2 Tms",11.1,58,4.76470588,3.17647059,1.5,3.17647059,0.10344828,0.06896552,0.03448276,0.39622642,2.20588235,0.38636364,0.56701031,7.743233474658479,6.890888657288746,19191
"Total","Dakota Hudson","STL",23.2,83,6.84507042,1.90140845,3.6,1.14084507,0.21686747,0.06024096,0.15662651,0.12987013,0.63380282,0.125,0.93220339,4.078743732175293,3.8974333309636577,19206
"Total","Mitch White","LAD",7,31,12.85714286,2.57142857,5,0,0.32258065,0.06451613,0.25806452,0.21428571,1.14285714,0.31578947,0.5,1.150398354328908,3.1974983448330367,19225
"Total","Wes Benjamin","TEX",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,19243
"Total","Cole Irvin","OAK",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,19244
"Total","Ian Hamilton","CHW",2.1,12,11.57142859,11.57142859,1,0,0.25,0.25,0,0.22222222,2.14285715,0.33333333,0.8,4.477134082175294,6.956347446625999,19261
"Total","Thomas Hatch","TOR",10.2,45,10.96875,3.375,3.25,0.84375,0.28888889,0.08888889,0.2,0.2,1.125,0.26923077,0.68965517,3.378919792175293,3.425601612982733,19264
"Total","Taylor Widener","ARI",18.1,86,9.32727273,3.92727273,2.375,2.45454545,0.22093023,0.09302326,0.12790697,0.24,1.41818182,0.25490196,0.81818182,6.434779441875209,5.474447382995247,19266
"Total","Justin Dunn","SEA",45.2,205,9.45985402,7.68613139,1.23076923,1.97080292,0.23414634,0.1902439,0.04390244,0.17901235,1.4890511,0.18095238,0.78947368,6.668738609599678,5.9679073078313305,19268
"Total","T.J. Zeuch","TOR",5.2,33,1.58823529,9.52941176,0.16666667,3.17647059,0.03030303,0.18181818,-0.15151515,0.40740741,3,0.375,0.77464789,10.56834643279486,8.816915418110053,19269
"Total","Jacob Webb","ATL",8.2,43,9.34615384,8.3076923,1.125,0,0.20930233,0.18604651,0.02325582,0.2,1.73076923,0.26923077,0.86666667,3.8485239886096814,5.300544255254623,19274
"Total","Edgar Garcia","TBR",1.2,5,0,5.39999999,0,0,0,0.2,-0.2,0,0.6,0,1,4.991419792175293,7.305352256414851,19276
"Total","Vladimir Gutierrez","CIN",4,17,4.5,9,0.5,0,0.11764706,0.23529412,-0.11764706,0.07692308,1.25,0.09090909,1,5.137579154968262,7.755865608155728,19278
"Total","Zac Gallen","ARI",45,190,7.8,4,1.95,0.6,0.20526316,0.10526316,0.1,0.22891566,1.28888889,0.28,0.75704225,3.8453242370555643,4.4296945451546454,19291
"Total","Trevor Richards","2 Tms",22.2,93,7.94117647,3.17647059,2.5,1.98529412,0.21505376,0.08602151,0.12903225,0.21686747,1.14705882,0.21666667,0.89473684,5.3325983761941504,5.576711766350302,19309
"Total","Reggie McClain","PHI",2,9,0,0,0,0,0,0,0,0.375,1.5,0.33333333,0.33333333,3.191419792175293,6.083835382759571,19311
"Total","Cal Quantrill","2 Tms",27.1,112,10.86585366,2.63414634,4.125,0.32926829,0.29464286,0.07142857,0.22321429,0.21782178,1.09756098,0.30434783,0.84459459,2.2145931498419973,3.288011149419667,19312
"Total","Joey Lucchesi","NYM",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,19320
"Total","Daulton Jefferies","OAK",0.2,6,0,26.99999987,0,26.99999987,0,0.33333333,-0.33333333,0.5,5.99999997,0,-0.83333333,51.1914195521753,17.976250899419693,19345
"Total","Dean Kremer","BAL",25.2,115,10.87012987,5.61038961,1.9375,2.1038961,0.26956522,0.13913043,0.13043479,0.23469388,1.51948052,0.27419355,0.65359477,5.650664058496185,5.295669079303046,19350
"Total","Corbin Burnes","MIL",56.2,232,12.86470588,3.01764706,4.26315789,0.15882353,0.34913793,0.08189655,0.26724138,0.1952381,1.05882353,0.3125,0.82792208,1.7035941091397797,2.78694336041749,19361
"Total","Keegan Akin","BAL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,19362
"Total","Walker Buehler","LAD",51,210,9.70588235,2.47058824,3.92857143,1.58823529,0.26190476,0.06666667,0.19523809,0.21243523,1.07843137,0.24427481,0.87557604,4.177597171160873,3.769123511119983,19374
"Total","Tony Gonsolin","LAD",23.2,90,7.6056338,1.52112676,5,0.38028169,0.22222222,0.04444444,0.17777778,0.17857143,0.8028169,0.21875,0.80645161,2.684377542175293,4.416423638097399,19388
"Total","Dane Dunning","2 Tms",36.2,165,10.06363636,3.92727273,2.5625,0.49090909,0.24848485,0.0969697,0.15151515,0.25170068,1.44545455,0.33653846,0.74712644,3.105059420187318,4.38989182645077,19409
"Total","Shane Bieber","CLE",75,306,14.4,3.6,4,0.6,0.39215686,0.09803922,0.29411764,0.19343066,1.10666667,0.32214765,0.82051282,2.1112857894346306,2.415362148552215,19427
"Total","Yohan Ramirez","SEA",8.1,44,12.96000001,10.8,1.2,4.32,0.27272727,0.22727273,0.04545454,0.22580645,2.04,0.2,0.83333333,11.224958915707864,7.717817222498425,19444
"Total","Patrick Sandoval","LAA",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,19447
"Total","Shaun Anderson","2 Tms",7.2,38,9.39130434,5.86956521,1.6,2.34782609,0.21052632,0.13157895,0.07894737,0.3030303,1.95652174,0.34782609,0.16393443,6.440584865807619,4.9898837669757015,19453
"Total","Kyle Funkhouser","DET",12.1,65,7.29729729,8.02702702,0.90909091,0.72972973,0.15384615,0.16923077,-0.01538462,0.31372549,2.18918919,0.34883721,0.703125,5.279155769174498,6.198338799592631,19456
"Total","Bryan Garcia","DET",16.1,79,5.51020408,6.6122449,0.83333333,0,0.12658228,0.15189873,-0.02531645,0.23076923,1.65306122,0.26785714,0.71428571,4.334906908911531,7.045215218586046,19457
"Total","Jorge Alcala","MIN",15.2,70,10.91489361,5.74468085,1.9,3.44680851,0.27142857,0.14285714,0.12857143,0.30508475,1.78723404,0.34285714,0.76530612,7.632011810841382,4.728774827391638,19459
"Total","Aaron Civale","CLE",78.2,321,7.55084746,2.40254237,3.14285714,1.37288136,0.20560748,0.06542056,0.14018692,0.24745763,1.19491525,0.2760181,0.78005115,4.308795411866159,4.147078287308415,19479
"Total","Ryan Hendrix","CIN",7.2,30,9.39130434,4.69565217,2,1.17391304,0.26666667,0.13333333,0.13333334,0.19230769,1.17391304,0.23529412,0.65789474,4.311492194968261,3.7542254386947054,19535
"Total","Jimmy Lambert","CHW",4,19,9,2.25,4,2.25,0.21052632,0.05263158,0.15789474,0.33333333,1.75,0.38461538,0.71428571,5.155526033992405,6.45208954756939,19541
"Total","Jon Duplantier","ARI",4.2,22,7.71428571,7.71428571,1,3.85714285,0.18181818,0.18181818,0,0.22222222,1.71428571,0.16666667,0.76923077,9.566150574968262,6.613008462816135,19546
"Total","Geoff Hartlieb","PIT",10.2,45,5.90625,6.75,0.875,0.84375,0.15555556,0.17777778,-0.02222222,0.16666667,1.3125,0.17857143,0.66176471,5.623872232438711,5.128226129477952,19558
"Total","David Bednar","2 Tms",11.2,50,8.48571428,2.31428571,3.66666667,1.54285714,0.22,0.06,0.16,0.27659574,1.37142857,0.32352941,0.75757576,4.26878620810102,4.228831078880091,19569
"Total","JoJo Romero","PHI",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1914197921752936,3.1914197921752936,19574
"Total","Brandon Bailey","HOU",4.2,16,3.85714285,1.92857143,2,1.92857143,0.125,0.0625,0.0625,0.2,0.85714286,0.16666667,1,5.762848362175293,5.869549666560907,19582
"Total","Sean Poppen","2 Tms",6.1,29,11.36842104,2.84210526,4,1.42105263,0.27586207,0.06896552,0.20689655,0.34615385,1.7368421,0.47058824,0.94339623,4.124619623423178,3.232135844159456,19583
"Total","Cionel Perez","2 Tms",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1644994735717775,3.1644994735717775,19614
"Total","Jordan Hicks","STL",3,12,9,3,3,0,0.25,0.08333333,0.16666667,0.18181818,1,0.25,0,2.1375791549682623,2.7194205890099212,19618
"Total","Matt Foster","CHW",20,82,9,1.8,5,0.9,0.24390244,0.04878049,0.19512195,0.22666667,1.05,0.27777778,0.59405941,3.3734729130973093,4.217890429239439,19647
"Total","Kyle Wright","ATL",21,99,7.28571429,6.85714286,1.0625,1.71428571,0.17171717,0.16161616,0.01010101,0.2804878,1.85714286,0.30645161,0.80838323,6.3274400258547425,5.928361998040494,19665
"Total","Sterling Sharp","MIA",2.1,13,7.71428573,15.42857145,0.5,3.85714286,0.15384615,0.30769231,-0.15384616,0.22222222,2.57142858,0.16666667,0.86956522,12.191419802175293,7.4463956812779095,19671
"Total","Gregory Soto","DET",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,19677
"Total","Sixto Sanchez","MIA",20,74,8.1,1.8,4.5,0,0.24324324,0.05405405,0.18918919,0.23188406,1,0.30769231,0.7,1.9914197921752932,3.2447998814284804,19680
"Total","Jordan Sheffield","COL",10,42,6.3,3.6,1.75,0.9,0.16666667,0.0952381,0.07142857,0.22222222,1.2,0.24137931,0.86206897,4.537579154968261,5.681313177943229,19682
"Total","Kyle Cody","TEX",14.1,54,10.67441861,2.51162791,4.25,1.25581395,0.31481481,0.07407407,0.24074074,0.18367347,0.90697674,0.23333333,0.98214286,3.661010264540565,3.9358011404094118,19686
"Total","Patrick Murphy","TOR",1.2,10,16.19999997,10.79999998,1.5,0,0.3,0.2,0.1,0.375,2.99999999,0.6,0.8,3.191419792175293,3.191419792175293,19712
"Total","Dustin May","LAD",39,162,9.92307692,3.92307692,2.52941176,1.84615385,0.2654321,0.10493827,0.16049383,0.21678322,1.23076923,0.24731183,0.92592593,5.020547115883654,3.809054682860534,19716
"Total","Kodi Whitley","STL",6.1,28,11.36842106,4.2631579,2.66666667,1.42105263,0.28571429,0.10714286,0.17857143,0.24,1.42105263,0.3125,1,4.101949881463641,3.4562195040786237,19731
"Total","Anthony Bender","MIA",4.1,18,6.23076924,0,3,0,0.16666667,0,0.16666667,0.17647059,0.69230769,0.21428571,0.75,2.445271464968262,4.862151266929439,19742
"Total","Jonathan Loaisiga","NYY",21.2,96,8.72307693,3.32307692,2.625,0.41538462,0.21875,0.08333333,0.13541667,0.26506024,1.38461539,0.33333333,0.88607595,3.345387424840913,3.923873127198956,19753
"Total","Shohei Ohtani","LAA",23.1,105,10.8,7.71428572,1.4,1.54285714,0.26666667,0.19047619,0.07619048,0.17721519,1.45714286,0.19230769,0.68027211,5.66691973692078,4.784895625938127,19755
"Total","Yoshihisa Hirano","SEA",7.1,33,6.13636364,3.68181818,1.66666667,2.45454546,0.15151515,0.09090909,0.06060606,0.3,1.63636364,0.30434783,0.76086957,6.600510702175294,4.895684259685408,19756
"Total","Seth Elledge","STL",9.1,38,8.67857143,5.78571429,1.5,1.92857143,0.23684211,0.15789474,0.07894737,0.28125,1.60714286,0.33333333,0.90163934,5.954059523364039,4.949432645833802,19766
"Total","Will Vest","SEA",11.1,51,5.55882353,2.38235294,2.33333333,0.79411765,0.1372549,0.05882353,0.07843137,0.29545455,1.41176471,0.31578947,0.54216867,4.372873274968263,5.074016651905426,19769
"Total","Anthony Castro","2 Tms",4.1,18,8.30769231,4.15384616,2,2.07692308,0.22222222,0.11111111,0.11111111,0.2,1.15384615,0.18181818,0.55555556,5.680182282407495,4.333609197193052,19789
"Total","Keegan Thompson","CHC",8.1,36,9.72,6.48,1.5,2.16,0.25,0.16666667,0.08333333,0.23333333,1.56,0.26315789,1,6.257579154968262,4.603819569339739,19795
"Total","Wil Crowe","2 Tms",16,77,6.75,9,0.75,2.25,0.15584416,0.20779221,-0.05194805,0.3,2.125,0.31111111,0.77464789,7.8954309145497374,7.114059114320783,19800
"Total","Daniel Castano","MIA",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,19805
"Total","David McKay","DET",0,1,0,0,0,9,0,0,0,1,1,0,2.5,16.191419792175292,5.119696852564812,19814
"Total","Riley Smith","ARI",23.2,97,6.46478873,1.52112676,4.25,1.52112676,0.17525773,0.04123711,0.13402062,0.27472527,1.22535211,0.29166667,0.76923077,4.419592842808872,4.547410473365202,19826
"Total","Michael King","NYY",21.1,98,9.28125,5.90625,1.57142857,1.6875,0.2244898,0.14285714,0.08163266,0.22222222,1.5,0.25,0.70422535,5.792023253440069,5.709333551764578,19853
"Total","Brandon Bielak","HOU",28.1,122,8.25882353,4.12941177,2,0.63529412,0.21311475,0.10655738,0.10655737,0.24074074,1.37647059,0.2962963,0.55248619,3.631240744335282,4.716598223767479,19866
"Total","Griffin Canning","LAA",45,193,8.6,4.6,1.86956522,1.4,0.22279793,0.11917098,0.10362695,0.24404762,1.42222222,0.28333333,0.75645756,4.81313151868788,4.895066521233982,19867
"Total","Kevin Ginkel","ARI",15,77,12,7.2,1.66666667,3,0.25974026,0.15584416,0.1038961,0.28125,2,0.33333333,0.66666667,7.430567914257512,5.6628037727421745,19876
"Total","Tanner Houck","BOS",12,44,8.25,3.75,2.2,0,0.25,0.11363636,0.13636364,0.15789474,0.91666667,0.21428571,0.81818182,2.581166143571778,3.369385518878699,19879
"Total","Alex Lange","DET",4.2,23,5.78571428,3.85714285,1.5,3.85714285,0.13043478,0.08695652,0.04347826,0.33333333,1.92857143,0.3125,0.96774194,8.709007724968263,4.259701919818516,19883
"Total","Corbin Martin","ARI",5.2,25,11.11764705,4.76470588,2.33333333,0,0.28,0.12,0.16,0.23809524,1.41176471,0.33333333,0.625,2.255226214968262,3.1793273148922214,19884
"Total","Clarke Schmidt","NYY",3.1,17,13.50000001,8.10000001,1.66666667,0,0.29411765,0.17647059,0.11764706,0.23076923,1.8,0.375,0.57142857,3.7914197921752932,4.94838603016597,19899
"Total","Adonis Medina","PHI",0.1,4,0,54.00000054,0,0,0,0.5,-0.5,0.5,9.00000009,0.5,1,21.191419972175293,21.191419972175296,19903
"Total","Trevor Stephan","CLE",7.1,34,9.81818182,4.90909091,2,1.22727273,0.23529412,0.11764706,0.11764706,0.24137931,1.5,0.3,0.8490566,4.773942794968262,5.14344989030613,19932
"Total","Ljay Newsome","SEA",9.1,51,6.75,2.89285714,2.33333333,5.78571429,0.1372549,0.05882353,0.07843137,0.38297872,2.25,0.34285714,0.63492063,10.993619563185144,6.050792376566691,19942
