Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Charlie Blackmon","COL",139,0.07194245,0.14388489,0.5,0.33858268,0.38848921,0.45669291,0.84518212,0.11811023,0.38095238,23.099408552150713,6.115580424766529,0.36819647670649797,117.88844452734003,7859
"Total","Jason Castro","3 Tms",52,0.15384615,0.34615385,0.44444444,0.19047619,0.33333333,0.30952381,0.64285714,0.11904762,0.30434783,5.620830619052146,-0.6385957810132759,0.29920950239779903,92.42774202970939,8722
"Total","Kyle Seager","SEA",135,0.08148148,0.22222222,0.36666667,0.2,0.27407407,0.375,0.64907407,0.175,0.2183908,12.782811452467111,-3.6274225219896747,0.2826326855906734,81.87522161915953,9785
"Total","Brett Gardner","NYY",58,0.0862069,0.29310345,0.29411765,0.15686275,0.24561404,0.15686275,0.40247679,0,0.23529412,1.4776650985989122,-5.490256568202064,0.19756974567446792,21.037917804185554,9927
"Total","Brandon Belt","SFG",57,0.21052632,0.22807018,0.92307692,0.15909091,0.33333333,0.25,0.58333333,0.09090909,0.19354839,5.254951906597279,-1.6767919014934072,0.2802935671388057,77.25869870893682,10264
"Total","Corey Dickerson","MIA",86,0.05813953,0.27906977,0.20833333,0.24050633,0.28235294,0.41772152,0.70007446,0.17721519,0.30188679,9.174532655347615,-1.3439251373517207,0.2984195442760692,90.7832430288447,10762
"Total","Kevin Kiermaier","TBR",57,0.05263158,0.33333333,0.15789474,0.24074074,0.28070175,0.2962963,0.57699805,0.05555556,0.37142857,4.203250956563394,-2.6302072286325293,0.2577249250913921,65.73461119756709,11038
"Total","Kole Calhoun","ARI",66,0.04545455,0.3030303,0.15,0.23728814,0.3030303,0.50847458,0.81150488,0.27118644,0.27777778,9.430000874986364,1.2523455059430137,0.3406708403067155,111.67185758322557,11200
"Total","Adam Eaton","2 Tms",70,0.08571429,0.2,0.42857143,0.09677419,0.17647059,0.16129032,0.33776091,0.06451613,0.10638298,-0.38603088305801636,-8.949644215866034,0.16100860343259923,-5.275770651188814,11205
"Total","Odubel Herrera","PHI",46,0.08695652,0.17391304,0.5,0.28205128,0.37777778,0.41025641,0.78803419,0.12820513,0.33333333,6.952577663719374,1.5892827195522365,0.3526121113035414,124.21678361273744,11476
"Total","Christian Yelich","MIL",85,0.18823529,0.31764706,0.59259259,0.27536232,0.41176471,0.56521739,0.9769821,0.28985507,0.37837838,17.47178619106941,6.918025804065985,0.41409851943745335,160.86997289422078,11477
"Total","Bryce Harper","PHI",125,0.168,0.328,0.51219512,0.26,0.40322581,0.44,0.84322581,0.18,0.4,21.373597418969,6.156102297907194,0.3736408708557006,135.97264610373585,11579
"Total","Joc Pederson","2 Tms",41,0.04878049,0.31707317,0.15384615,0.26315789,0.31707317,0.26315789,0.58023106,0,0.4,3.4095413637150402,-1.4601373049627668,0.26714275668307047,68.78337881221597,11899
"Total","Joe Panik","TOR",45,0.11111111,0.2,0.55555556,0.28205128,0.37777778,0.35897436,0.73675214,0.07692308,0.36666667,6.205696409538378,0.610527625277627,0.33375801775190567,109.35253830018824,11936
"Total","Travis Shaw","2 Tms",88,0.07954545,0.21590909,0.36842105,0.225,0.29545455,0.35,0.64545455,0.125,0.28333333,8.649107725333533,-2.022121294427552,0.28608936274593527,78.50901492714796,11982
"Total","Max Kepler","MIN",94,0.08510638,0.22340426,0.38095238,0.14285714,0.22340426,0.22619048,0.44959474,0.08333334,0.17460317,3.029556528557763,-8.403778097699657,0.2077768476719552,26.162197110973256,12144
"Total","Eddie Rosario","2 Tms",134,0.04477612,0.17910448,0.25,0.24,0.27272727,0.32,0.59272727,0.08,0.28,10.331285919502927,-5.80152366732006,0.2612892308018424,62.24053820630606,12155
"Total","Rougned Odor","2 Tms",84,0.03571429,0.28571429,0.125,0.15384615,0.21428571,0.37179487,0.58608058,0.21794872,0.14285714,5.775145579074441,-4.47438525041479,0.2538210380645025,57.87292555185451,12282
"Total","Tommy La Stella","3 Tms",65,0.09230769,0.04615385,2,0.19298246,0.27692308,0.24561404,0.52253712,0.05263158,0.2,3.947721348533749,-4.158015935292125,0.24147420663100022,51.8507782394504,12371
"Total","Kolten Wong","2 Tms",77,0.06493506,0.12987013,0.5,0.31944444,0.36363636,0.38888889,0.75252525,0.06944445,0.37096774,10.393634153783452,1.094282752156388,0.3326922747995946,110.3742164674021,12532
"Total","Brad Miller","2 Tms",47,0.10638298,0.34042553,0.3125,0.29268293,0.38297872,0.58536585,0.96834457,0.29268292,0.38095238,9.380607922888286,3.7220184778337546,0.4135179925472178,163.65832517995662,12775
"Total","Brian Goodwin","2 Tms",41,0.04878049,0.34146341,0.14285714,0.15789474,0.2195122,0.34210526,0.56161746,0.18421052,0.18181818,2.4972356249516015,-2.649429799156904,0.24317028173586216,50.03825278963685,12858
"Total","Gregory Polanco","PIT",75,0.09333333,0.38666667,0.24137931,0.10769231,0.18918919,0.16923077,0.35841996,0.06153846,0.16216216,0.23714388272019238,-8.882631121964733,0.16905523151964755,2.8273391426565135,12907
"Total","Brandon Nimmo","NYM",75,0.12,0.22666667,0.52941176,0.22580645,0.36,0.35483871,0.71483871,0.12903226,0.29545455,9.668958623718778,0.38835259975151204,0.3252573664983114,107.87129038350965,12927
"Total","Jackie Bradley Jr.","2 Tms",98,0.14285714,0.24489796,0.58333333,0.24390244,0.35714286,0.46341463,0.82055749,0.21951219,0.29090909,15.204006702863758,3.1613376971717524,0.3544154258406892,122.87230309930608,12984
"Total","Max Muncy","LAD",147,0.19047619,0.19727891,0.96551724,0.25,0.40816327,0.46551724,0.87368051,0.21551724,0.26582278,26.03730523642621,8.183275558617925,0.38350314473452635,146.60587923420394,13301
"Total","Tyler Naquin","2 Tms",43,0.06976744,0.3255814,0.21428571,0.10810811,0.20930233,0.18918919,0.39849152,0.08108108,0.13043478,0.6992171905878615,-4.5108688943144255,0.19159768764362778,11.279177542515278,13359
"Total","Jesse Winker","CIN",79,0.10126582,0.27848101,0.36363636,0.26470588,0.36708861,0.44117647,0.80826508,0.17647059,0.34883721,12.287022028092185,2.709808606628219,0.3557718433911287,121.71676284771212,13590
"Total","Corey Seager","LAD",133,0.05263158,0.21804511,0.24137931,0.28455285,0.33082707,0.49593496,0.82676203,0.21138211,0.31818182,20.261443309917503,4.084396072163632,0.35280156673345353,126.20918716717918,13624
"Total","David Dahl","2 Tms",83,0.03614458,0.28915663,0.125,0.14102564,0.18072289,0.16666667,0.34738956,0.02564103,0.2,-0.4562554950554307,-10.42836193691086,0.15993692573294582,-9.854286534184535,13744
"Total","Joey Wendle","TBR",81,0.08641975,0.24691358,0.35,0.23611111,0.32098765,0.29166667,0.61265432,0.05555556,0.32692308,7.664801096807649,-2.1187938914788464,0.2816363337599201,81.91532276581304,13853
"Total","Rio Ruiz","BAL",51,0.01960784,0.25490196,0.07692308,0.28,0.29411765,0.5,0.79411765,0.22,0.32352941,7.098199512354496,0.8034705179849895,0.3365028348623538,113.9922820938764,14103
"Total","Joey Gallo","TEX",164,0.12804878,0.40853659,0.31343284,0.20143885,0.32317073,0.43165468,0.75482541,0.23021583,0.3015873,21.798425738687,1.9712438555307,0.3307452078272657,110.81853800155098,14128
"Total","Matt Olson","OAK",134,0.08955224,0.30597015,0.29268293,0.21848739,0.29850746,0.46218487,0.76069233,0.24369748,0.26388889,17.45162914347276,1.2920143867693867,0.32647220367815954,112.42641259484672,14344
"Total","Raimel Tapia","COL",105,0.04761905,0.18095238,0.26315789,0.30612245,0.34285714,0.36734694,0.71020408,0.06122449,0.375,12.661882829215234,-0.10758918866902167,0.3123319750740415,81.47390293853871,14350
"Total","Jake Cave","MIN",58,0.01724138,0.48275862,0.03571429,0.14285714,0.17241379,0.21428571,0.3866995,0.07142857,0.25925926,0.2710458674724976,-6.7951614222232415,0.17145097666773304,1.9506469538070657,14477
"Total","Brett Phillips","2 Tms",46,0.10869565,0.45652174,0.23809524,0.17948718,0.27272727,0.20512821,0.47785548,0.02564103,0.38888889,2.338001291900869,-3.096774105280642,0.22782421653920953,45.07652597478005,14735
"Total","Mike Yastrzemski","SFG",119,0.11764706,0.26890756,0.4375,0.23809524,0.32773109,0.47619048,0.80392157,0.23809524,0.29411765,17.519098283093424,2.9475530323795995,0.3436874451757479,118.84729377346925,14854
"Total","Ryan McMahon","COL",110,0.08181818,0.30909091,0.26470588,0.23,0.3,0.49,0.79,0.26,0.27118644,14.948770080954978,1.61420133456702,0.33314133565360254,95.3164663470118,15112
"Total","Adam Frazier","PIT",103,0.05825243,0.16504854,0.35294118,0.26315789,0.32038835,0.4,0.72038835,0.13684211,0.30263158,12.389301904786407,-0.048697753500164254,0.3156981636019586,98.91136744816647,15223
"Total","Mike Tauchman","2 Tms",46,0.08695652,0.43478261,0.2,0.19047619,0.26086957,0.21428571,0.47515528,0.02380952,0.36363636,1.9819774101810084,-3.56895372314886,0.22218460362890494,37.53517847643608,15274
"Total","Jeff McNeil","NYM",95,0.11578947,0.09473684,1.22222222,0.3164557,0.41052632,0.37974684,0.79027316,0.06329114,0.34722222,14.585592251588508,2.830157954563304,0.3545088849569622,127.17056735213485,15362
"Total","J.P. Crawford","SEA",129,0.07751938,0.17829457,0.43478261,0.28813559,0.34883721,0.37288136,0.72171857,0.08474577,0.35106383,16.244405529307663,0.5694719914668174,0.3211959378663884,107.98097823499401,15491
"Total","Dominic Smith","NYM",102,0.11764706,0.23529412,0.5,0.27906977,0.37254902,0.41860465,0.79115367,0.13953488,0.35483871,15.140275874677535,2.6759086787136757,0.34645410729389564,122.75262029534511,15653
"Total","Austin Meadows","TBR",99,0.11111111,0.34343434,0.32352941,0.13414634,0.25252525,0.19512195,0.4476472,0.06097561,0.2,3.9679347945183765,-7.94114599397478,0.21642655254614473,37.5858090933749,15672
"Total","Rowdy Tellez","TOR",50,0.06,0.22,0.27272727,0.33333333,0.38,0.46666667,0.84666667,0.13333334,0.41176471,8.151691809861294,2.0539716934844185,0.366105340719223,131.98508000571965,15679
"Total","Tyler Wade","NYY",47,0.0212766,0.27659574,0.07692308,0.20930233,0.23913043,0.3255814,0.56471183,0.11627907,0.26666667,2.660237131496013,-3.051962653319299,0.2432605494623599,48.67416975916069,15730
"Total","Cody Bellinger","LAD",87,0.10344828,0.22988506,0.45,0.21794872,0.29885057,0.35897436,0.65782493,0.14102564,0.25454545,8.806638733528796,-2.0785940130723097,0.2907521190314457,83.71857473887874,15998
"Total","Michael Conforto","NYM",126,0.11904762,0.26190476,0.45454545,0.25961538,0.38888889,0.41346154,0.80235043,0.15384616,0.34328358,19.91865590346771,4.459476621279293,0.3585450171478211,130.44494231567725,16376
"Total","Kyle Schwarber","2 Tms",106,0.13207547,0.33962264,0.38888889,0.20454545,0.33962264,0.32954545,0.66916809,0.125,0.30612245,12.151919161708243,-0.7520163377810651,0.3079686828379361,92.05904636601026,16478
"Total","Colin Moran","PIT",85,0.08235294,0.28235294,0.29166667,0.23076923,0.29411765,0.34615385,0.6402715,0.11538462,0.32075472,8.050345217008557,-2.3604542639661172,0.2827822727315566,76.56724801974485,16909
"Total","Alex Verdugo","BOS",139,0.05755396,0.21582734,0.26666667,0.3,0.34532374,0.39230769,0.73763143,0.09230769,0.37755102,18.122305383207028,1.183152538956823,0.32519175937707473,102.69642736218066,17027
"Total","Rafael Devers","BOS",150,0.08,0.26,0.30769231,0.23134328,0.31333333,0.35074627,0.6640796,0.11940299,0.30434783,15.925433268152467,-2.3587920243513683,0.297355500459671,83.45765046910054,17350
"Total","DJ Stewart","BAL",47,0.10638298,0.29787234,0.35714286,0.19512195,0.2826087,0.26829268,0.55090138,0.07317073,0.26923077,3.2929987546777966,-2.356655633749938,0.2530540046484574,58.33570531734644,17766
"Total","Willie Calhoun","TEX",51,0.01960784,0.07843137,0.25,0.27659574,0.31372549,0.36170213,0.67542762,0.08510639,0.27906977,5.513760703601002,-0.6290723281129607,0.2977980807715771,89.16427017800153,17838
"Total","Andrew Benintendi","2 Tms",68,0.08823529,0.20588235,0.42857143,0.2,0.28358209,0.23333333,0.51691542,0.03333333,0.26086957,4.294096327140139,-3.7414734002806687,0.24277094940641034,50.327775719607814,17901
"Total","Cedric Mullins","BAL",74,0.09459459,0.16216216,0.58333333,0.29850746,0.36486486,0.44776119,0.81262605,0.14925373,0.33962264,11.418679262458685,2.7907700044506822,0.35657080444129735,130.1120743196678,17929
"Total","Jake Cronenworth","SDP",129,0.08527132,0.17054264,0.5,0.23478261,0.3125,0.27826087,0.59076087,0.04347826,0.29032258,11.009617316493934,-4.575965655078943,0.2715095467865467,71.81599756149613,18036
"Total","Kyle Tucker","HOU",161,0.06832298,0.16149068,0.42307692,0.21088435,0.26086957,0.41496599,0.67583556,0.20408164,0.19827586,15.909231394912087,-3.5145600434290536,0.28742459990223,85.83441195725786,18345
"Total","Trent Grisham","SDP",102,0.10784314,0.31372549,0.34375,0.26966292,0.35643564,0.43820225,0.79463789,0.16853933,0.38888889,15.01359473043609,2.52242236459184,0.3470866030985766,120.53104999303216,18564
"Total","Luis Arraez","MIN",71,0.12676056,0.09859155,1.28571429,0.20967742,0.30985915,0.25806452,0.56792367,0.0483871,0.23636364,5.7217639716558555,-2.824416880101671,0.2651655455710183,65.95455307063696,18568
"Total","Jared Walsh","LAA",94,0.03191489,0.24468085,0.13043478,0.25842697,0.27659574,0.40449438,0.68109012,0.14606741,0.30769231,9.566698363737878,-1.7147402998639978,0.2905247084637906,84.92391130854887,18607
"Total","Josh Naylor","2 Tms",72,0.08333333,0.25,0.33333333,0.203125,0.28169014,0.328125,0.60981514,0.125,0.25,6.360866874213391,-2.114271156732863,0.27316130298963737,70.04365809068757,18839
"Total","Brandon Lowe","TBR",120,0.09166667,0.31666667,0.28947368,0.18446602,0.29166667,0.44660194,0.73826861,0.26213592,0.18965517,15.168233941564823,0.6409263417818805,0.3171602482597033,106.55179680477279,18882
"Total","Cavan Biggio","TOR",128,0.171875,0.2734375,0.62857143,0.26470588,0.4047619,0.38235294,0.78711484,0.11764706,0.39393939,20.137359373036976,4.427123240892045,0.35697848077804323,125.65641360996976,19252
"Total","Nicky Lopez","KCR",89,0.08988764,0.17977528,0.5,0.18666667,0.26744186,0.26666667,0.53410853,0.08,0.21666667,5.450337141127542,-5.382160530118987,0.2424853014391522,48.840595025888966,19339
"Total","Yordan Alvarez","HOU",90,0.03333333,0.24444444,0.13636364,0.31325301,0.34444444,0.53012048,0.87456492,0.21686747,0.37288136,14.989050050533617,4.450971615768278,0.37105874750349255,143.81353585954082,19556
"Total","Nate Lowe","2 Tms",107,0.12149533,0.35514019,0.34210526,0.24468085,0.3364486,0.31914894,0.65559754,0.07446809,0.4,11.5196024308251,-1.1077839454366103,0.29925703333917064,91.39779200683947,19566
"Total","Josh Rojas","ARI",67,0.05970149,0.34328358,0.17391304,0.25806452,0.3030303,0.35483871,0.65786901,0.09677419,0.39473684,6.784603039556116,-1.2862692821687753,0.29128891229629517,81.18944056284063,19734
"Total","Shohei Ohtani","LAA",114,0.12280702,0.28947368,0.42424242,0.19587629,0.30701754,0.42268041,0.72969795,0.22680412,0.23333333,14.090412362160343,0.31627531224693795,0.31845865019580777,103.29843795750904,19755
"Total","Pavin Smith","ARI",56,0.07142857,0.125,0.57142857,0.23529412,0.28571429,0.37254902,0.65826331,0.1372549,0.25,5.5046404997600344,-1.0871335243092743,0.2859750496489661,78.77948012559007,19892
"Total","Daulton Varsho","ARI",42,0.02380952,0.35714286,0.06666667,0.14634146,0.16666667,0.19512195,0.36178862,0.04878049,0.23076923,-0.35741410512907046,-5.575997614455051,0.16017184654871622,-7.539233506590579,19918
"Total","Andres Gimenez","2 Tms",43,0.04651163,0.23255814,0.2,0.225,0.27906977,0.4,0.67906977,0.175,0.25,4.576364771327683,-0.6694615400817903,0.29590931604074877,86.98433044478084,19950
"Total","Gavin Lux","LAD",52,0.07692308,0.28846154,0.26666667,0.19148936,0.25,0.23404255,0.48404255,0.04255319,0.27272727,2.3038478517992003,-3.857292925371458,0.2208260825047126,40.933008560348746,19955
"Total","Juan Soto","WSN",101,0.11881188,0.13861386,0.85714286,0.29545455,0.38613861,0.625,1.01113861,0.32954545,0.28358209,20.663026347465816,8.386732972867788,0.41491696664265226,160.51507014474362,20123
"Total","Jazz Chisholm Jr.","MIA",45,0.04444444,0.31111111,0.14285714,0.3255814,0.35555556,0.60465116,0.96020672,0.27906976,0.42307692,8.75923597268738,3.3874436040965477,0.40578371418846976,162.94366394612112,20454
"Total","Yoshi Tsutsugo","2 Tms",61,0.09836066,0.40983607,0.24,0.2037037,0.29508197,0.35185185,0.64693382,0.14814815,0.33333333,6.125942586662207,-1.3704603177290817,0.2877018041298038,85.58709268973531,27459
