Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Charlie Blackmon","COL",282,0.09574468,0.16666667,0.57446809,0.24489796,0.32978723,0.38367347,0.7134607,0.13877551,0.2755102,32.44804629184948,-1.8608926435495707,0.3074039345613886,78.06017421835203,7859
"Total","Eric Sogard","2 Tms",187,0.06951872,0.14973262,0.46428571,0.23529412,0.28877005,0.32352941,0.61229946,0.08823529,0.26573427,15.437974795300672,-7.3835815418770805,0.268489815855539,66.36748875442616,7927
"Total","Matt Carpenter","STL",228,0.13596491,0.29385965,0.46268657,0.16842105,0.30701754,0.30526316,0.6122807,0.13684211,0.21551724,21.12817867027662,-6.741757468114878,0.2798636866881784,76.9472316275257,8090
"Total","Dee Strange-Gordon","SEA",55,0.09090909,0.12727273,0.71428571,0.26530612,0.34545455,0.26530612,0.61076067,0,0.30952381,5.308153028289114,-1.5959103455149781,0.2853697191585194,82.05767684007355,8203
"Total","Ehire Adrianza","2 Tms",114,0.0877193,0.21052632,0.41666667,0.22,0.28318584,0.39,0.67318584,0.17,0.25,11.457395527153537,-2.3435466926402593,0.29030613667142074,81.01940386130848,8418
"Total","Jason Castro","3 Tms",99,0.13131313,0.32323232,0.40625,0.23255814,0.33333333,0.46511628,0.79844961,0.23255814,0.33333333,14.272723254933865,2.1045258242636034,0.343977664456223,120.90719926913202,8722
"Total","Justin Smoak","2 Tms",106,0.0754717,0.36792453,0.20512821,0.17894737,0.25471698,0.38947368,0.64419066,0.21052631,0.23076923,9.438841139478054,-3.867171908217106,0.27652036806322494,70.10059848597145,9054
"Total","Chris Davis","BAL",48,0.02083333,0.3125,0.06666667,0.12765957,0.14583333,0.19148936,0.33732269,0.06382979,0.1875,-0.9671136528925213,-6.9924780518488205,0.14709781855344772,-16.408497932818225,9272
"Total","Brock Holt","3 Tms",152,0.13157895,0.19078947,0.68965517,0.2248062,0.33552632,0.29457364,0.63009996,0.06976744,0.28,15.268627635068247,-3.275589564018896,0.2916668578982353,82.14592430812841,9345
"Total","Matt Adams","2 Tms",67,0.04477612,0.32835821,0.13636364,0.140625,0.17910448,0.21875,0.39785448,0.078125,0.19512195,0.47631104378854605,-7.7643273538454824,0.17676797553674498,0.4287044237723706,9393
"Total","Jason Kipnis","CHC",105,0.0952381,0.34285714,0.27777778,0.27173913,0.34285714,0.45652174,0.79937888,0.18478261,0.4,15.123991687291424,1.9435070645745207,0.34170030298687165,113.65559220665023,9776
"Total","Kyle Seager","SEA",325,0.11692308,0.16,0.73076923,0.24452555,0.34461538,0.45985401,0.80446939,0.21532846,0.25116279,47.34044613188854,7.9018366212283695,0.3439299897377535,123.81736675677686,9785
"Total","Jay Bruce","2 Tms",110,0.09090909,0.24545455,0.37037037,0.19,0.26363636,0.47,0.73363636,0.28,0.18181818,12.552726223580022,-1.0320241083582453,0.3046958621488799,89.82724093439253,9892
"Total","Brett Gardner","NYY",225,0.14666667,0.22666667,0.64705882,0.2287234,0.34222222,0.37765957,0.71988179,0.14893617,0.28148148,28.309094392459585,0.8693538687636369,0.31936923662821454,103.17891547510177,9927
"Total","Jonathan Villar","3 Tms",241,0.12863071,0.26141079,0.49206349,0.23300971,0.33333333,0.33009709,0.66343042,0.09708738,0.31205674,25.331105422730534,-4.0456094476031375,0.29591514113583145,88.13932530055938,10071
"Total","Billy Hamilton","3 Tms",60,0.05,0.18333333,0.27272727,0.1509434,0.18965517,0.18867925,0.37833442,0.03773585,0.18181818,0.0661548558216778,-7.143888604309014,0.17009088705325948,3.900900405882076,10199
"Total","Tucker Barnhart","CIN",208,0.09615385,0.27403846,0.35087719,0.26486486,0.34615385,0.43783784,0.78399169,0.17297298,0.34710744,29.904314612612865,4.866609012351175,0.3427511519537522,113.4719549340664,10200
"Total","Brandon Belt","SFG",259,0.15057915,0.26640927,0.56521739,0.29680365,0.40540541,0.59817352,1.00357893,0.30136987,0.36567164,54.83844731802233,23.327311590855203,0.4232562611731448,171.57088586818927,10264
"Total","Danny Santana","2 Tms",60,0.15,0.35,0.42857143,0.18,0.31666667,0.4,0.71666667,0.22,0.25925926,7.323531408202475,-0.056278127837353864,0.317966573437055,99.95948568885237,10322
"Total","Derek Dietrich","TEX",66,0.10606061,0.3030303,0.35,0.18518519,0.33333333,0.37037037,0.7037037,0.18518518,0.22580645,8.20070064318704,-0.08417540537786944,0.31825006730628735,100.80732326019938,10542
"Total","Cesar Hernandez","CLE",319,0.10344828,0.21316614,0.48529412,0.26760563,0.34591195,0.39084507,0.73675702,0.12323944,0.33649289,41.853041237115505,2.926355747401362,0.3261367766737188,104.83710882620917,10556
"Total","Corey Dickerson","MIA",297,0.07744108,0.15488215,0.5,0.27675277,0.34006734,0.38745387,0.72752121,0.1107011,0.31818182,37.26067425711631,1.2475100795793428,0.32004461316643534,105.77532126064996,10762
"Total","Jurickson Profar","SDP",267,0.10861423,0.13857678,0.78378378,0.26521739,0.35471698,0.37826087,0.73297785,0.11304348,0.29473684,34.644456430688294,2.3614047759918306,0.3250177543271672,106.91861960999807,10815
"Total","Greg Garcia","SDP",63,0.0952381,0.23809524,0.4,0.22222222,0.3,0.27777778,0.57777778,0.05555556,0.30769231,4.9531565773399615,-2.9551341962901807,0.2641651093959808,64.58262025566206,10951
"Total","Kevin Kiermaier","TBR",208,0.12019231,0.27403846,0.43859649,0.20994475,0.3125,0.33701657,0.64951657,0.12707182,0.2892562,20.664184282716917,-4.820274148884607,0.28756874307845404,85.1576250651567,11038
"Total","Kole Calhoun","ARI",213,0.1314554,0.20187793,0.65116279,0.24022346,0.34741784,0.51955307,0.86697091,0.27932961,0.232,35.06907637296795,8.679989061044445,0.36660168204509036,128.780529331811,11200
"Total","Adam Eaton","2 Tms",268,0.0858209,0.20895522,0.41071429,0.24463519,0.32824427,0.42060086,0.74884513,0.17596567,0.29411765,34.96072160344953,2.5432064671480137,0.326156045056851,105.99658970831229,11205
"Total","Mike Freeman","CLE",41,0.07317073,0.26829268,0.27272727,0.22222222,0.29268293,0.30555556,0.59823849,0.08333334,0.30769231,3.3256066094298635,-1.8210588146786415,0.26711736946571163,62.85357859895571,11241
"Total","Yasmani Grandal","CHW",259,0.18918919,0.2972973,0.63636364,0.18181818,0.33976834,0.38277512,0.72254346,0.20095694,0.2231405,33.46412055508662,1.863634261651524,0.3244050534075291,107.76015466734363,11368
"Total","Tony Wolters","2 Tms",107,0.06542056,0.28037383,0.23333333,0.23469388,0.28571429,0.2755102,0.56122449,0.04081632,0.33823529,7.47301318256539,-5.761957044318498,0.25320887111482165,44.28817089547555,11470
"Total","Odubel Herrera","PHI",65,0.09230769,0.16923077,0.54545455,0.24137931,0.30769231,0.39655172,0.70424403,0.15517241,0.27659574,7.4298511198006905,-0.14871782304417688,0.3065146042750432,93.99574111810331,11476
"Total","Christian Yelich","MIL",232,0.18103448,0.31034483,0.58333333,0.19148936,0.34482759,0.34574468,0.69057227,0.15425532,0.25925926,27.45680008072302,-1.1564962865050081,0.3118959553863691,93.66892643911042,11477
"Total","Bryce Harper","PHI",281,0.1886121,0.16725979,1.12765957,0.27555556,0.41281139,0.55555556,0.96836695,0.28,0.2804878,53.943437134536964,19.643870887967807,0.40078166634948165,153.30245097055644,11579
"Total","Joc Pederson","2 Tms",241,0.08713693,0.24481328,0.3559322,0.21153846,0.30416667,0.42307692,0.72724359,0.21153846,0.23404255,29.13243012732449,-0.11025889360723351,0.31516042674581213,99.89866999362957,11899
"Total","Joe Panik","TOR",159,0.10691824,0.16981132,0.62962963,0.22535211,0.3081761,0.31690141,0.62507751,0.0915493,0.26548673,15.016798480498798,-4.432922863316528,0.28276883206277525,75.19497818219173,11936
"Total","Travis Shaw","2 Tms",266,0.09774436,0.28571429,0.34210526,0.21610169,0.29699248,0.39830508,0.69529756,0.18220339,0.26490066,29.74643874910557,-2.4646948203734205,0.30338325491525175,89.73361599670466,11982
