Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Aaron Loup","2 Tms",22.2,94,10.32352941,1.98529412,5.2,1.19117647,0.27659574,0.05319149,0.22340425,0.24705882,1.14705882,0.30508475,0.74561404,3.3937972284088516,3.597592577577358,10343
"Total","Robbie Erlin","2 Tms",20.1,86,8.40983607,1.7704918,4.75,1.7704918,0.22093023,0.04651163,0.1744186,0.24050633,1.13114754,0.26315789,0.51546392,4.765190282175293,5.337312070864167,10354
"Total","Scott Alexander","LAD",11,49,4.09090909,4.90909091,0.83333333,0.81818182,0.10204082,0.12244898,-0.02040816,0.28571429,1.63636364,0.2972973,0.84337349,5.07766921970751,4.722498948539689,10591
"Total","Trevor Rosenthal","KCR",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,10745
"Total","Mike Foltynewicz","TEX",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,10811
"Total","Asher Wojciechowski","BAL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,10836
"Total","Adam Kolarek","2 Tms",12,61,5.25,5.25,1,1.5,0.1147541,0.1147541,0,0.35849057,2.16666667,0.37777778,0.86206897,5.920481766579826,5.590715781170407,10843
"Total","Chasen Shreve","2 Tms",20,87,12.15,2.25,5.4,2.25,0.31034483,0.05747126,0.25287357,0.25925926,1.3,0.32,0.84210526,4.475267601013184,3.5533751852810385,10855
"Total","Merrill Kelly","ARI",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,11156
"Total","Grant Dayton","ATL",26.1,121,10.93670886,3.41772152,3.2,1.70886076,0.26446281,0.08264463,0.18181818,0.26851852,1.48101266,0.32876712,0.78787879,4.464157801735118,4.628814924963785,11203
"Total","Tyler Lyons","NYY",1.1,6,0,0,0,0,0,0,0,0.2,0.75,0.2,0,5.441419802175293,8.33383539561561,11334
"Total","Jose Quintana","2 Tms",32,157,10.6875,6.1875,1.72727273,1.125,0.24203822,0.14012739,0.10191083,0.30827068,1.96875,0.39784946,0.6445993,4.462978474304721,4.388156333447144,11423
"Total","Drew Pomeranz","SDP",21,88,13.28571429,5.14285714,2.58333333,0.85714286,0.35227273,0.13636364,0.21590909,0.2,1.28571429,0.30232558,0.90909091,3.174327526386737,3.2043453039545553,11426
"Total","Jesse Biddle","2 Tms",6.2,35,9.45000001,9.45000001,1,1.35,0.2,0.2,0,0.33333333,2.25,0.36842105,0.68493151,6.590271186804386,6.473071707368412,11437
"Total","Matt Grace","ARI",0.2,7,26.99999987,13.49999993,2,0,0.28571429,0.14285714,0.14285715,0.66666667,7.49999996,1,1,1.6914198021752926,4.583835375797493,11449
"Total","Robbie Ray","2 Tms",81,372,11,5.77777778,1.90384615,2.44444444,0.26612903,0.13978495,0.12634408,0.26349206,1.66666667,0.30964467,0.82862524,6.24814964346632,5.051969322976989,11486
"Total","Joely Rodriguez","TEX",18.2,84,8.67857143,2.89285714,3,0.96428571,0.21428571,0.07142857,0.14285714,0.2739726,1.39285714,0.31034483,0.64655172,3.591148023676676,3.3693652766838085,11487
"Total","Josh Osich","2 Tms",9.1,51,12.53571428,3.85714285,3.25,3.85714285,0.25490196,0.07843137,0.17647059,0.30434783,1.92857143,0.34482759,0.97014925,7.584276932175293,3.6656572721704253,11528
"Total","Mike Kickham","2 Tms",11,60,12.27272727,2.45454545,5,4.90909091,0.25,0.05,0.2,0.38888889,2.18181818,0.45454545,0.69892473,9.183262119854882,4.496682171733031,11618
"Total","Heath Hembree","CIN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,11632
"Total","Matt Harvey","BAL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,11713
"Total","Kyle Ryan","CHC",10,43,9,1.8,5,1.8,0.23255814,0.04651163,0.18604651,0.29268293,1.4,0.34482759,0.98214286,4.384241040565636,3.3268626888772506,11753
"Total","Drew Smyly","2 Tms",50.1,223,10.01324503,3.57615894,2.8,1.96688742,0.25112108,0.0896861,0.16143498,0.24747475,1.37086093,0.28148148,0.78754579,5.021887169000935,4.4200856261413985,11760
"Total","Hansel Robles","MIN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,11801
"Total","James Paxton","2 Tms",16.1,72,12.67346939,4.40816327,2.875,1.65306122,0.31944444,0.11111111,0.20833333,0.26984127,1.53061225,0.36842105,0.625,4.228939756631333,4.438455793941773,11828
"Total","Chris Martin","ATL",0,1,0,9,0,0,0,1,-1,0,1,0,1,6.137579154968262,6.137579154968262,11847
"Total","Matt Andriese","BOS",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,12022
"Total","Kyle Hendricks","CHC",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,12049
"Total","Ryan Sherriff","TBR",7,25,1.28571429,2.57142857,0.5,0,0.04,0.08,-0.04,0.2173913,1,0.22727273,0.85714286,3.755156842574289,5.657326367497444,12249
"Total","Seth Lugo","NYM",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1914197921752936,3.1914197921752936,12447
"Total","Blake Treinen","LAD",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,12572
"Total","Nick Ramirez","2 Tms",15,68,7.2,3.6,2,2.4,0.17647059,0.08823529,0.0882353,0.26666667,1.46666667,0.26086957,0.54878049,6.23655020729248,4.949797320365906,12575
"Total","Adam Morgan","PHI",5,24,9,3.6,2.5,1.8,0.20833333,0.08333333,0.125,0.36363636,2,0.4375,0.69767442,4.991419792175293,4.319696852564812,12580
"Total","Adrian Houser","MIL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,12718
"Total","Sonny Gray","CIN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,12768
"Total","Sean Gilmartin","TBR",2,14,4.5,13.5,0.33333333,9,0.07142857,0.21428571,-0.14285714,0.45454545,4,0.375,0.96153846,19.691419792175292,10.54797391295433,12781
"Total","Matt Wisler","SFG",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,12804
"Total","Shawn Armstrong","BAL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,12857
"Total","Tyler Anderson","2 Tms",89,379,7.78651685,3.43820225,2.26470588,1.21348315,0.20316623,0.08970976,0.11345647,0.24924925,1.31460674,0.27843137,0.7312253,4.365435936446743,5.015003241490551,12880
"Total","Alex Claudio","2 Tms",19.1,89,6.51724138,3.72413793,1.75,0.93103448,0.15730337,0.08988764,0.06741573,0.25925926,1.5,0.29230769,0.64885496,4.303358790424976,4.986869948342196,12890
"Total","Ken Giles","TOR",0,1,0,9,0,0,0,1,-1,0,1,0,0,6.191419792175293,6.191419792175293,12910
