Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Michael A. Taylor","2 Tms",74,0.06756757,0.40540541,0.16666667,0.22058824,0.28378378,0.41176471,0.69554849,0.19117647,0.34285714,8.131064442188375,-0.7827666278771229,0.3012261954513756,87.99583582172258,11489
"Total","Manny Machado","SDP",115,0.15652174,0.16521739,0.94736842,0.2371134,0.35652174,0.43298969,0.78951143,0.19587629,0.23611111,16.736183906423577,2.6935575255031687,0.34315683967188787,117.91689474707958,11493
"Total","Willson Contreras","CHC",103,0.0776699,0.25242718,0.30769231,0.27173913,0.33980583,0.47826087,0.8180667,0.20652174,0.32258065,14.966422075140805,2.519487360227438,0.34705058182820236,119.09059711786914,11609
"Total","Elias Diaz","COL",66,0.07575758,0.24242424,0.3125,0.16393443,0.22727273,0.27868852,0.50596125,0.11475409,0.18604651,3.293102703609777,-4.652241193136859,0.2262589859239983,25.50960447497452,11680
"Total","Nick Castellanos","CIN",87,0.03448276,0.18390805,0.1875,0.30120482,0.33333333,0.59036145,0.92369478,0.28915663,0.31147541,15.41407663848257,4.7879605340585725,0.3856689125992531,140.17501735201967,11737
"Total","J.T. Realmuto","PHI",91,0.12087912,0.20879121,0.57894737,0.33333333,0.45054945,0.50666667,0.95721612,0.17333334,0.42592593,18.97469123676181,7.882201658931974,0.41898188093206384,165.5635942784765,11739
"Total","Hanser Alberto","2 Tms",91,0.02197802,0.14285714,0.15384615,0.3253012,0.34444444,0.43373494,0.77817938,0.10843374,0.36111111,12.425352704889841,1.341798183686799,0.33254362013604905,110.83450644171182,11902
"Total","Jon Berti","MIA",96,0.16666667,0.22916667,0.72727273,0.16666667,0.30526316,0.28205128,0.58731444,0.11538461,0.2,8.494534919307423,-3.1541163303993214,0.27354189345711155,75.50880406613153,12037
"Total","Niko Goodrum","DET",87,0.10344828,0.32183908,0.32142857,0.30263158,0.37931034,0.51315789,0.89246823,0.21052631,0.43478261,15.324550434294167,4.85033029252571,0.38082493379198273,143.6876158653267,12092
"Total","Nick Ahmed","ARI",99,0.08080808,0.18181818,0.44444444,0.27472527,0.33333333,0.45054945,0.78388278,0.17582418,0.32394366,13.923462956408091,1.7820706956182208,0.33854293462001916,110.84633519538662,12147
"Total","Austin Barnes","LAD",44,0.11363636,0.25,0.45454545,0.26315789,0.34883721,0.34210526,0.69094247,0.07894737,0.34615385,5.293191999137303,-0.03348745411644366,0.31369554719259574,100.45953975106787,12158
"Total","Xander Bogaerts","BOS",132,0.10606061,0.17424242,0.60869565,0.34745763,0.41666667,0.56779661,0.98446328,0.22033898,0.38636364,27.41711205836591,11.41026852872428,0.4198167442365457,167.08041487636237,12161
"Total","Miguel Sano","MIN",99,0.1010101,0.4040404,0.25,0.14606742,0.23232323,0.30337079,0.53569402,0.15730337,0.2,5.845218339902959,-6.117472788350978,0.2391514525269017,48.05011603778393,12164
"Total","Maikel Franco","2 Tms",114,0.07894737,0.18421053,0.42857143,0.26923077,0.3245614,0.41346154,0.73802294,0.14423077,0.31707317,14.460701940317238,0.7401752301646112,0.320913084766321,103.87355444104543,12179
