Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId,bats,pitch
Total,Mike Tauchman,2 Tms,46,0.08695652,0.43478261,0.2,0.19047619,0.26086957,0.21428571,0.47515528,0.02380952,0.36363636,1.9819774101810084,-3.56895372314886,0.22218460362890494,37.53517847643607,15274,L,L
Total,Jeff McNeil,NYM,95,0.11578947,0.09473684,1.22222222,0.3164557,0.41052632,0.37974684,0.79027316,0.06329114,0.34722222,14.585592251588507,2.8301579545633038,0.3545088849569622,127.17056735213484,15362,L,L
Total,J.P. Crawford,SEA,129,0.07751938,0.17829457,0.43478261,0.28813559,0.34883721,0.37288136,0.72171857,0.08474577,0.35106383,16.244405529307663,0.5694719914668174,0.3211959378663884,107.980978234994,15491,L,L
Total,Dominic Smith,NYM,102,0.11764706,0.23529412,0.5,0.27906977,0.37254902,0.41860465,0.79115367,0.13953488,0.35483871,15.140275874677535,2.675908678713676,0.34645410729389564,122.75262029534511,15653,L,L
Total,Austin Meadows,TBR,99,0.11111111,0.34343434,0.32352941,0.13414634,0.25252525,0.19512195,0.44764719999999997,0.06097561,0.2,3.967934794518377,-7.9411459939747795,0.21642655254614476,37.5858090933749,15672,L,L
Total,Rowdy Tellez,TOR,50,0.06,0.22,0.27272727,0.33333333,0.38,0.46666667,0.84666667,0.13333334,0.41176471,8.151691809861294,2.0539716934844185,0.36610534071922296,131.98508000571965,15679,L,L
Total,Tyler Wade,NYY,47,0.0212766,0.27659574,0.07692308,0.20930233,0.23913043,0.3255814,0.56471183,0.11627907,0.26666667,2.660237131496013,-3.0519626533192987,0.2432605494623599,48.67416975916069,15730,L,L
Total,Cody Bellinger,LAD,87,0.10344828,0.22988506,0.45,0.21794872,0.29885057,0.35897436,0.65782493,0.14102564,0.25454545,8.806638733528796,-2.0785940130723097,0.2907521190314457,83.71857473887874,15998,L,L
Total,Michael Conforto,NYM,126,0.11904762,0.26190476,0.45454545,0.25961538,0.38888889,0.41346154,0.80235043,0.15384616,0.34328358,19.91865590346771,4.4594766212792925,0.3585450171478211,130.44494231567725,16376,L,L
Total,Kyle Schwarber,2 Tms,106,0.13207547,0.33962264,0.38888889,0.20454545,0.33962264,0.32954545,0.66916809,0.125,0.30612245,12.151919161708244,-0.7520163377810651,0.3079686828379361,92.05904636601026,16478,L,L
