P,P,C,1B,2B,3B,SS,OF,OF,OF,OF,Salary,Proj
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Keston Hiura (18305914),Jace Peterson (18305910),Ke'Bryan Hayes (18305900),Ramon Urias (18306043),Raimel Tapia (18305867),Brian Goodwin (18306054),Adam Duvall (18305945),49900,139.84600341582518
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Keston Hiura (18305914),Jace Peterson (18305910),Ke'Bryan Hayes (18305900),Ramon Urias (18306043),Raimel Tapia (18305867),Brian Goodwin (18306054),Adam Duvall (18305945),49900,139.84600341582518
Jacob deGrom (18305745),Carlos Rodon (18305746),Daulton Varsho (18306082),Miguel Cabrera (18306022),Jace Peterson (18305910),Harold Castro (18306075),Ramon Urias (18306043),Joey Gallo (18305848),Brian Goodwin (18306054),Andrew McCutchen (18305964),48200,139.79233079427792
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Alex Kirilloff (18305949),Jace Peterson (18305910),Anthony Rendon (18305871),Zack Short (18306151),Kyle Schwarber (18306217),Harold Ramirez (18306124),Brian Goodwin (18306054),49500,139.77488551333187
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Ty France (18306006),Jace Peterson (18305910),Eduardo Escobar (18305852),Francisco Lindor (18305850),Bradley Zimmer (18306180),Joey Gallo (18305848),Brian Goodwin (18306054),49900,139.7659247883011
Carlos Rodon (18305746),Jacob deGrom (18305745),Austin Hedges (18306169),Miguel Cabrera (18306022),Jace Peterson (18305910),Harold Castro (18306075),Ramon Urias (18306043),Brian Goodwin (18306054),Kike Hernandez (18305844),Joey Gallo (18305848),48900,139.76012570503318
Carlos Rodon (18305746),Jacob deGrom (18305745),Austin Hedges (18306169),Keston Hiura (18305914),Jace Peterson (18305910),Asdrubal Cabrera (18306095),Zack Short (18306151),Brian Goodwin (18306054),Teoscar Hernandez (18305831),Joey Gallo (18305848),49200,139.6397707347516
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Christian Walker (18306036),Jace Peterson (18305910),Luis Arraez (18305994),Harold Castro (18306075),Eric Haase (18305876),Joey Gallo (18305848),Brian Goodwin (18306054),48800,139.61306331175055
Carlos Rodon (18305746),Jacob deGrom (18305745),James McCann (18305951),Miguel Cabrera (18306022),Jace Peterson (18305910),Eric Sogard (18306157),Ramon Urias (18306043),Brian Goodwin (18306054),Joey Gallo (18305848),Adam Duvall (18305945),48900,139.60931513897708
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Ryan Mountcastle (18305925),Jace Peterson (18305910),Hunter Dozier (18306112),Gleyber Torres (18305947),Manuel Margot (18305908),Joey Gallo (18305848),Brian Goodwin (18306054),49600,139.59385019382057
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Yandy Diaz (18305923),Ramon Urias (18306043),Ke'Bryan Hayes (18305900),J.P. Crawford (18305927),Cedric Mullins (18305926),Joey Gallo (18305848),Brian Goodwin (18306054),50000,139.5519759797654
