num_L_bats,num_R_bats,is_nl,k_9_l,bb_9_l,k_bb_l,hr_9_l,k_pct_l,bb_pct_l,k_bb_pct_l,bat_avg_l,whip_l,babip_l,lob_pct_l,fip_l,xfip_l,k_9_r,bb_9_r,k_bb_r,hr_9_r,k_pct_r,bb_pct_r,k_bb_pct_r,bat_avg_r,whip_r,babip_r,lob_pct_r,fip_r,xfip_r,k_9_l_tot,bb_9_l_tot,k_bb_l_tot,hr_9_l_tot,k_pct_l_tot,bb_pct_l_tot,k_bb_pct_l_tot,bat_avg_l_tot,whip_l_tot,babip_l_tot,lob_pct_l_tot,fip_l_tot,xfip_l_tot,k_9_r_tot,bb_9_r_tot,k_bb_r_tot,hr_9_r_tot,k_pct_r_tot,bb_pct_r_tot,k_bb_pct_r_tot,bat_avg_r_tot,whip_r_tot,babip_r_tot,lob_pct_r_tot,fip_r_tot,xfip_r_tot,DK sal,DK pts
4,5,0,5.93406593,2.96703297,2.0,2.37362637,0.13888889,0.06944444,0.06944445,0.31538462,1.68131868,0.31730769,0.52631579,6.445523906688126,5.896893740619872,9.54545455,3.27272727,2.91666667,1.63636364,0.21472393,0.07361963,0.1411043,0.34666667,1.93939394,0.41818182,0.70143885,4.4796140020871915,3.7360456906731487,23.73626372,11.86813188,8.0,9.49450548,0.55555556,0.27777776,0.27777779999999996,1.26153848,6.72527472,1.26923076,2.10526316,25.782095626752504,23.587574962479486,47.72727275,16.36363635,14.58333335,8.181818199999999,1.07361965,0.36809815,0.7055214999999999,1.73333335,9.696969699999999,2.0909091,3.5071942499999995,22.398070010435962,18.680228453365746,6000.0,-3.3
4,5,0,10.87012987,5.61038961,1.9375,2.1038961,0.26956522,0.13913043,0.13043479,0.23469388,1.51948052,0.27419355,0.65359477,5.650664058496185,5.295669079303046,8.12903226,3.48387097,2.33333333,1.4516129,0.1971831,0.08450704,0.11267606,0.3046875,1.64516129,0.35051546,0.70454545,4.6054021392828695,4.982896330113672,43.48051948,22.44155844,7.75,8.4155844,1.07826088,0.55652172,0.52173916,0.93877552,6.07792208,1.0967742,2.61437908,22.60265623398474,21.182676317212184,40.64516130000001,17.419354849999998,11.66666665,7.258064500000001,0.9859155000000001,0.4225352,0.5633803000000001,1.5234375,8.22580645,1.7525773,3.52272725,23.02701069641435,24.914481650568362,6200.0,7.0
3,6,0,2.7,3.78,0.71428571,0.81,0.06369427,0.08917197,-0.025477700000000002,0.34042553,1.86,0.34883721,0.68027211,5.068347282412899,5.5710281276360165,8.12030075,4.26315789,1.9047618999999998,0.81203008,0.22099448,0.1160221,0.10497238,0.18987342,1.15037594,0.22807018,0.71729958,4.082632026024541,4.515314236573143,8.100000000000001,11.34,2.14285713,2.43,0.19108281,0.26751591,-0.0764331,1.0212765899999998,5.58,1.04651163,2.04081633,15.205041847238695,16.71308438290805,48.72180450000001,25.57894734,11.428571400000001,4.87218048,1.32596688,0.6961326,0.6298342800000001,1.13924052,6.90225564,1.36842108,4.30379748,24.49579215614725,27.091885419438857,5100.0,5.9
3,5,1,9.25,6.25,1.48,1.75,0.24183007,0.16339869,0.07843138,0.22399999999999998,1.47222222,0.25,0.76388889,5.733515192873536,5.024610098782513,7.8,5.7,1.36842105,1.5,0.18705036,0.13669065,0.05035971,0.22321429,1.46666667,0.23809524,0.61904762,6.0056097844957,5.519566648033571,27.75,18.75,4.44,5.25,0.72549021,0.49019607,0.23529414,0.672,4.41666666,0.75,2.29166667,17.20054557862061,15.073830296347538,39.0,28.5,6.84210525,7.5,0.9352518,0.68345325,0.25179855,1.11607145,7.33333335,1.1904762,3.0952381,30.0280489224785,27.59783324016785,5900.0,19.9
4,4,1,7.22727273,2.31818182,3.11764706,1.5,0.19776119,0.06343284,0.13432835,0.21862348,1.07575758,0.23369565,0.75085324,4.633652598748785,4.298348650664684,8.4120603,2.30653266,3.64705882,1.22110553,0.22463768,0.0615942,0.16304348,0.24505929,1.19095477,0.28961749,0.79831933,4.054081991553364,4.04174467342962,28.90909092,9.27272728,12.47058824,6.0,0.79104476,0.25373136,0.5373134,0.87449392,4.30303032,0.9347825999999999,3.00341296,18.53461039499514,17.193394602658735,33.6482412,9.22613064,14.58823528,4.88442212,0.89855072,0.2463768,0.65217392,0.98023716,4.76381908,1.15846996,3.19327732,16.216327966213456,16.16697869371848,9500.0,25.35
3,5,1,9.86538461,3.375,2.92307692,1.55769231,0.27142857,0.09285714,0.17857143,0.20967742,1.125,0.24691358,0.79754601,4.508361639577802,3.9568685040574687,10.66935484,2.39516129,4.45454545,0.87096774,0.30625,0.06875,0.2375,0.17241379,0.87096774,0.22340426,0.86419753,2.9834212690205244,2.9765677536750315,29.59615383,10.125,8.769230760000001,4.67307693,0.8142857099999999,0.27857142,0.53571429,0.62903226,3.375,0.74074074,2.39263803,13.525084918733404,11.870605512172409,53.346774200000006,11.97580645,22.272727250000006,4.3548387,1.53125,0.34375,1.1875,0.8620689500000001,4.3548387,1.1170213,4.32098765,14.917106345102622,14.882838768375153,8900.0,12.1
4,5,0,7.55084746,2.40254237,3.14285714,1.37288136,0.20560748,0.06542056,0.14018692,0.24745763,1.19491525,0.27601809999999993,0.78005115,4.308795411866159,4.147078287308415,7.28761062,1.55309735,4.69230769,1.43362832,0.19805195,0.04220779,0.15584416,0.26643599,1.19469027,0.29816514,0.73834197,4.290435724490524,3.986302227199437,30.20338984,9.61016948,12.57142856,5.49152544,0.82242992,0.26168224,0.56074768,0.98983052,4.779661,1.1040723999999995,3.1202046,17.235181647464636,16.58831314923366,36.438053100000005,7.76548675,23.46153845,7.168141599999999,0.99025975,0.21103895,0.7792208,1.33217995,5.97345135,1.4908257,3.69170985,21.45217862245262,19.931511135997184,8400.0,42.2
4,5,0,14.4,3.6,4.0,0.6,0.39215686,0.09803922,0.29411764,0.19343066,1.10666667,0.32214765,0.82051282,2.11128578943463,2.415362148552215,13.16803279,2.21311475,5.95,1.21721311,0.371875,0.0625,0.309375,0.19528620000000002,0.95901639,0.2797619,0.88235294,2.807280118524204,2.3048468483980686,57.6,14.4,16.0,2.4,1.56862744,0.39215688,1.17647056,0.77372264,4.42666668,1.2885906,3.28205128,8.44514315773852,9.66144859420886,65.84016395,11.06557375,29.75,6.086065550000002,1.859375,0.3125,1.546875,0.976431,4.79508195,1.3988095,4.411764700000001,14.03640059262102,11.524234241990342,11000.0,11.55
4,5,0,8.6,4.6,1.86956522,1.4,0.22279793,0.11917098,0.10362695,0.24404762,1.42222222,0.28333333,0.75645756,4.8131315186878805,4.895066521233981,10.37195122,3.29268293,3.15,1.97560976,0.26694915,0.08474576,0.18220339,0.27488152,1.42682927,0.32857143,0.7073955,4.868673652687158,4.182248180465546,34.4,18.4,7.47826088,5.6,0.89119172,0.47668392,0.4145077999999999,0.97619048,5.68888888,1.13333332,3.02583024,19.252526074751522,19.580266084935925,51.8597561,16.463414649999994,15.75,9.878048800000002,1.3347457500000002,0.42372879999999996,0.91101695,1.3744076,7.13414635,1.64285715,3.5369775000000003,24.34336826343579,20.91124090232773,9400.0,4.7
4,5,0,8.66037736,7.13207547,1.21428571,0.0,0.23287671,0.19178082,0.04109589,0.12068966,1.18867925,0.17073171,0.90909091,3.7744427200870283,5.318558629383597,8.34939759,2.4939758999999997,3.34782609,1.08433735,0.23547401,0.07033639,0.16513762,0.20945946,1.02409639,0.24528302,0.78947368,3.8825259257518656,4.050324246000095,34.64150944,28.52830188,4.85714284,0.0,0.93150684,0.76712328,0.16438356,0.48275864,4.754716999999999,0.68292684,3.63636364,15.097770880348113,21.27423451753439,41.74698795000001,12.4698795,16.739130449999998,5.42168675,1.17737005,0.35168195,0.8256880999999999,1.0472973,5.12048195,1.2264151,3.9473684,19.412629628759326,20.251621230000477,9200.0,9.05
4,5,0,9.23316062,2.23834197,4.125,1.39896373,0.25095057,0.0608365,0.19011407,0.225,1.0880829,0.26347305,0.73333333,4.0611719505073145,4.310471810296331,8.54587156,2.2293578,3.83333333,0.24770642,0.23,0.06,0.17,0.22545455,1.10091743,0.29126214,0.82725061,2.5730033289730336,3.7925288334076415,36.93264248,8.95336788,16.5,5.59585492,1.00380228,0.243346,0.76045628,0.9,4.3523316,1.0538922,2.93333332,16.244687802029258,17.241887241185324,42.729357799999995,11.146788999999998,19.16666665,1.2385321000000002,1.15,0.3,0.8500000000000001,1.12727275,5.50458715,1.4563107,4.13625305,12.865016644865166,18.962644167038206,9100.0,8.8
